crime,date,hour,lat,long,h,hora
VIOLACION,22/08/2020,04:00,19.474389,-99.063196,4,4
VIOLACION,22/08/2020,01:50,19.33835255,-99.24650956,1,1
VIOLACION,21/08/2020,00:30,19.41013264,-99.13307641,0,0.1
VIOLACION,21/08/2020,21:00,19.46021377,-99.1750674,21,21
VIOLACION,21/08/2020,20:30,19.2685658,-99.1122065,20,20
VIOLACION,20/08/2020,05:20,19.27638492,-99.18143845,5,5
VIOLACION,19/08/2020,04:00,19.4890961,-99.2076739,4,4
VIOLACION,19/08/2020,22:00,19.44733011,-99.13144124,22,22
VIOLACION,17/08/2020,05:00,19.32425165,-99.24939348,5,5
VIOLACION,17/08/2020,00:30,19.34791663,-99.00149786,0,0.1
VIOLACION,17/08/2020,16:00,19.39084651,-99.09565244,16,16
VIOLACION,16/08/2020,16:00,19.48923381,-99.18707079,16,16
VIOLACION,16/08/2020,03:00,19.33140359,-99.07960147,3,3
VIOLACION,16/08/2020,22:30,19.3725063,-99.17951713,22,22
VIOLACION,16/08/2020,02:00,19.42268669,-99.12025044,2,2
VIOLACION,15/08/2020,15:30,19.35388239,-98.99832612,15,15
VIOLACION,15/08/2020,17:00,19.3168877,-99.0588211,17,17
VIOLACION,14/08/2020,19:40,19.40834986,-99.11227182,19,19
VIOLACION,14/08/2020,17:00,19.34835092,-98.98691905,17,17
VIOLACION,14/08/2020,05:30,19.29846356,-99.0354314,5,5
VIOLACION,14/08/2020,02:00,19.43154524,-99.16844622,2,2
VIOLACION,13/08/2020,12:00,19.3114961,-99.1586172,12,12
VIOLACION,13/08/2020,07:00,19.37283853,-99.2087133,7,7
VIOLACION,12/08/2020,10:00,19.4480172,-99.1188487,10,10
VIOLACION,11/08/2020,18:00,19.33466105,-99.15523814,18,18
VIOLACION,10/08/2020,10:00,19.49493039,-99.17727576,10,10
VIOLACION,10/08/2020,10:00,19.33629973,-99.08400293,10,10
VIOLACION,10/08/2020,00:00,19.33223024,-99.08818322,0,0.1
VIOLACION,09/08/2020,18:20,19.4405655,-99.09034977,18,18
VIOLACION,09/08/2020,06:00,19.2950839,-99.0207258,6,6
VIOLACION,09/08/2020,10:00,19.444444,-99.1968025,10,10
VIOLACION,09/08/2020,05:50,19.47496832,-99.06785417,5,5
VIOLACION,09/08/2020,19:00,19.3533036,-99.2187126,19,19
VIOLACION,09/08/2020,16:00,19.4470278,-99.1096795,16,16
VIOLACION,08/08/2020,01:00,19.43732906,-99.15370838,1,1
VIOLACION,08/08/2020,04:10,19.39777938,-99.05865577,4,4
VIOLACION,07/08/2020,00:30,19.37702077,-99.18242967,0,0.1
VIOLACION,07/08/2020,03:00,19.45029596,-99.13515118,3,3
VIOLACION,06/08/2020,15:30,19.37823759,-99.22182396,15,15
VIOLACION,05/08/2020,17:00,19.53782696,-99.14819507,17,17
VIOLACION,05/08/2020,00:30,19.37222726,-99.04635643,0,0.1
VIOLACION,03/08/2020,04:30,19.37229941,-99.14230907,4,4
VIOLACION,02/08/2020,23:00,19.40072581,-99.17222834,23,23
VIOLACION,02/08/2020,09:30,19.28534713,-99.18614549,9,9
VIOLACION,01/08/2020,22:30,19.3779411,-99.18727097,22,22
VIOLACION,01/08/2020,00:00,19.44199192,-99.12078286,0,0.1
VIOLACION,01/08/2020,06:10,19.26433691,-99.16435227,6,6
VIOLACION,01/08/2020,02:00,19.29249674,-99.07238055,2,2
VIOLACION,31/07/2020,18:00,19.28455176,-99.21057771,18,18
VIOLACION,31/07/2020,09:30,19.3896418,-99.1080844,9,9
VIOLACION,31/07/2020,22:00,19.47969836,-99.11630027,22,22
VIOLACION,30/07/2020,07:10,19.4234365,-99.17582005,7,7
VIOLACION,30/07/2020,16:50,19.2942877,-99.2290015,16,16
VIOLACION,30/07/2020,21:00,19.293162,-99.1700734,21,21
VIOLACION,29/07/2020,23:30,19.27524308,-99.13808359,23,23
VIOLACION,29/07/2020,16:00,19.48609419,-99.07947142,16,16
VIOLACION,29/07/2020,02:00,19.36400438,-99.19229205,2,2
VIOLACION,27/07/2020,20:00,19.32882287,-99.10252587,20,20
VIOLACION,26/07/2020,00:00,19.34052142,-99.06256424,0,0.1
VIOLACION,26/07/2020,20:20,19.32711423,-99.28350692,20,20
VIOLACION,26/07/2020,21:00,19.39218831,-99.20488406,21,21
VIOLACION,26/07/2020,04:30,19.3327125,-99.042752,4,4
VIOLACION,25/07/2020,09:00,19.3589817,-99.2890528,9,9
VIOLACION,25/07/2020,02:30,19.39818961,-99.20025526,2,2
VIOLACION,24/07/2020,04:50,19.48332257,-99.0935004,4,4
VIOLACION,23/07/2020,22:36,19.34670629,-99.06503447,22,22
VIOLACION,23/07/2020,20:00,19.4388233,-99.1257317,20,20
VIOLACION,21/07/2020,14:30,19.3454376,-98.98958559,14,14
VIOLACION,21/07/2020,09:30,19.42134382,-99.10521905,9,9
VIOLACION,21/07/2020,12:00,19.34352435,-99.0267237,12,12
VIOLACION,21/07/2020,03:00,19.42352978,-99.1572652,3,3
VIOLACION,19/07/2020,01:30,19.37273345,-99.03198702,1,1
VIOLACION,19/07/2020,11:00,19.2674213,-99.1099085,11,11
VIOLACION,18/07/2020,12:30,19.50563586,-99.13584492,12,12
VIOLACION,18/07/2020,01:00,19.34741863,-99.05137989,1,1
VIOLACION,18/07/2020,04:00,19.39211977,-99.07497693,4,4
VIOLACION,18/07/2020,09:00,19.32927621,-98.97831567,9,9
VIOLACION,18/07/2020,14:00,19.33063762,-99.02475244,14,14
VIOLACION,18/07/2020,20:50,19.416462,-99.17052941,20,20
VIOLACION,17/07/2020,09:00,19.30646829,-99.11616717,9,9
VIOLACION,17/07/2020,18:00,19.3463267,-99.102423,18,18
VIOLACION,17/07/2020,07:00,19.34955447,-99.10148776,7,7
VIOLACION,16/07/2020,14:30,19.49951315,-99.07601033,14,14
VIOLACION,16/07/2020,03:00,19.42501158,-99.12572775,3,3
VIOLACION,15/07/2020,23:00,19.3514574,-99.0391564,23,23
VIOLACION,14/07/2020,15:00,19.34632285,-99.10934988,15,15
VIOLACION,13/07/2020,17:00,19.53817783,-99.13761071,17,17
VIOLACION,13/07/2020,19:30,19.38891437,-99.1190273,19,19
VIOLACION,12/07/2020,01:30,19.38556011,-99.03172494,1,1
VIOLACION,12/07/2020,02:30,19.4877571,-99.2000359,2,2
VIOLACION,11/07/2020,22:00,19.32850599,-99.03989064,22,22
VIOLACION,11/07/2020,11:30,19.42536493,-99.13842869,11,11
VIOLACION,09/07/2020,10:30,19.4219237,-99.1711834,10,10
VIOLACION,09/07/2020,12:00,19.45084854,-99.11295956,12,12
VIOLACION,09/07/2020,02:35,19.53244737,-99.14390498,2,2
VIOLACION,08/07/2020,07:00,19.4952134,-99.20246773,7,7
VIOLACION,08/07/2020,01:20,19.3356453,-99.00653602,1,1
VIOLACION,07/07/2020,01:00,19.47972419,-99.07905305,1,1
VIOLACION,07/07/2020,02:00,19.48225311,-99.07420633,2,2
VIOLACION,06/07/2020,05:00,19.31843438,-99.246296,5,5
VIOLACION,06/07/2020,03:00,19.341045,-99.12968985,3,3
VIOLACION,05/07/2020,01:00,19.31412601,-99.08932709,1,1
VIOLACION,05/07/2020,01:00,19.38250312,-99.24014267,1,1
VIOLACION,05/07/2020,01:00,19.5533912,-99.1259161,1,1
VIOLACION,04/07/2020,14:00,19.31164765,-99.15315069,14,14
VIOLACION,03/07/2020,10:00,19.30092227,-99.22267535,10,10
VIOLACION,03/07/2020,08:00,19.4607461,-99.19509417,8,8
VIOLACION,03/07/2020,05:00,19.330378,-99.0128704,5,5
VIOLACION,03/07/2020,13:40,19.4126849,-99.13533002,13,13
VIOLACION,02/07/2020,19:00,19.35271448,-99.03974229,19,19
VIOLACION,01/07/2020,21:30,19.34216667,-99.01478274,21,21
VIOLACION,01/07/2020,00:30,19.37470239,-99.08834891,0,0.1
VIOLACION,30/06/2020,22:30,19.33117419,-99.10145021,22,22
VIOLACION,29/06/2020,19:50,19.37713311,-99.01934103,19,19
VIOLACION,29/06/2020,08:45,19.36081892,-99.00055396,8,8
VIOLACION,29/06/2020,12:00,19.4268351,-99.1549584,12,12
VIOLACION,28/06/2020,18:30,19.5144757,-99.1383636,18,18
VIOLACION,28/06/2020,15:32,19.39968375,-99.0977118,15,15
VIOLACION,28/06/2020,22:30,19.54093882,-99.13523104,22,22
VIOLACION,26/06/2020,20:00,19.3564877,-99.1309158,20,20
VIOLACION,26/06/2020,22:00,19.29128457,-99.14591054,22,22
VIOLACION,25/06/2020,19:30,19.33456558,-99.16203,19,19
VIOLACION,24/06/2020,18:00,19.36785532,-99.22635088,18,18
VIOLACION,24/06/2020,02:00,19.26574557,-99.12771406,2,2
VIOLACION,22/06/2020,17:00,19.5063556,-99.14827628,17,17
VIOLACION,22/06/2020,12:00,19.43760105,-99.15523315,12,12
VIOLACION,21/06/2020,21:00,19.35603686,-99.18310455,21,21
VIOLACION,21/06/2020,21:00,19.3007355,-99.2625484,21,21
VIOLACION,21/06/2020,19:30,19.48574617,-99.08528831,19,19
VIOLACION,20/06/2020,09:30,19.39359352,-99.0677954,9,9
VIOLACION,20/06/2020,01:30,19.40504398,-99.20066579,1,1
VIOLACION,19/06/2020,18:30,19.31526155,-99.10693411,18,18
VIOLACION,19/06/2020,12:30,19.3765106,-99.0522549,12,12
VIOLACION,19/06/2020,20:00,19.3302821,-99.052022,20,20
VIOLACION,18/06/2020,23:00,19.44332275,-99.1200543,23,23
VIOLACION,18/06/2020,22:00,19.4198914,-99.1568752,22,22
VIOLACION,18/06/2020,18:00,19.44855182,-99.14173636,18,18
VIOLACION,18/06/2020,11:00,19.42684646,-99.10789033,11,11
VIOLACION,18/06/2020,21:30,19.2805524,-99.18284643,21,21
VIOLACION,18/06/2020,14:50,19.31090142,-99.044741,14,14
VIOLACION,17/06/2020,18:00,19.2720938,-99.1238632,18,18
